,path,created_at,imaged_at,x,y,z,x',y',z',impulse,speed,vector,lat,lng
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.950000,1.6500000000000008,124,1,212,-4,15,-9,17.944358444926362,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25,1.7000000000000008,110,-24,223,-14,-25,11,30.692018506445613,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.055555,1.7500000000000009,116,-43,228,6,-19,5,20.54263858417414,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.111111,1.800000000000001,111,-4,210,-5,39,-18,43.243496620879306,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.166666,1.850000000000001,119,-15,235,8,-11,25,28.460498941515414,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.222222,1.900000000000001,77,-34,212,-42,-19,-23,51.51698748956503,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.277777,1.950000000000001,124,1,283,47,35,71,92.05976319760984,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.333333,2.000000000000001,153,-37,208,29,-38,-75,88.93818077743664,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.388888,2.0500000000000007,117,-6,235,-36,31,27,54.644304369257,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.444444,2.1000000000000005,130,1,281,13,7,46,48.31148931672465,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.500000,2.1500000000000004,101,18,216,-29,17,-65,73.1778655059028,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.555555,2.2,111,16,273,10,-2,57,57.905094767213704,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.611111,2.25,95,47,276,-16,31,3,35.014282800023196,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.666666,2.3,95,47,276,0,0,0,0.0,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.722222,2.3499999999999996,117,-22,255,22,-69,-21,75.40557008603542,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.777777,2.3999999999999995,116,-28,230,-1,-6,-25,25.729360660537214,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.833333,2.4499999999999993,110,-18,229,-6,10,-1,11.704699910719626,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.888888,2.499999999999999,123,17,253,13,35,24,44.384682042344295,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.944444,2.549999999999999,99,-22,273,-24,-39,20,49.969990994595946,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26,2.5999999999999988,92,-26,250,-7,-4,-23,24.372115213907882,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.050000,2.6499999999999986,97,-19,199,5,7,-51,51.720402163943,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.100000,2.6999999999999984,113,-1,212,16,18,13,27.367864366808018,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.150000,2.7499999999999982,110,-26,219,-3,-25,7,26.13426869074396,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.200000,2.799999999999998,107,-22,253,-3,4,34,34.36568055487916,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.250000,2.849999999999998,120,-26,208,13,-4,-45,47.01063709417264,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.300000,2.8999999999999977,113,7,226,-7,33,18,38.23610858861032,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.350000,2.9499999999999975,113,7,226,0,0,0,0.0,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.400000,2.9999999999999973,111,-31,238,-2,-38,12,39.89987468652001,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.450000,3.049999999999997,99,-31,267,-12,0,29,31.38470965295043,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.500000,3.099999999999997,142,-13,254,43,18,-13,48.394214530251446,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.550000,3.149999999999997,134,-22,234,-8,-9,-20,23.345235059857504,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.600000,3.1999999999999966,106,15,206,-28,37,-28,54.194095619356915,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.650000,3.2499999999999964,134,-15,231,28,-30,25,48.05205510693585,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.700000,3.2999999999999963,109,15,218,-25,30,-13,41.15823125451335,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.750000,3.349999999999996,142,-19,228,33,-34,10,48.425200051213004,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.800000,3.399999999999996,119,-16,219,-23,3,-9,24.879710609249457,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.850000,3.4499999999999957,113,-24,228,-6,-8,9,13.45362404707371,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.900000,3.4999999999999956,152,-9,187,39,15,-41,58.540584213005594,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.950000,3.5499999999999954,123,-24,214,-29,-15,27,42.36744032862972,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27,3.599999999999995,128,-12,232,5,12,18,22.20360331117452,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.050000,3.649999999999995,99,-45,249,-29,-33,17,47.10626285325551,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.100000,3.699999999999995,115,-26,185,16,19,-64,68.65129277733959,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.150000,3.7499999999999947,133,-31,183,18,-5,-2,18.788294228055936,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.200000,3.7999999999999945,135,-5,211,2,26,28,38.262252939417984,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.250000,3.8499999999999943,135,-5,211,0,0,0,0.0,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.300000,3.899999999999994,149,-14,235,14,-9,24,29.206163733020468,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.350000,3.949999999999994,105,14,277,-44,28,42,66.96267617113283,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.400000,3.999999999999994,115,-22,239,10,-36,-38,53.291650377896914,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.450000,4.049999999999994,151,-49,192,36,-27,-47,65.06919393998976,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.500000,4.099999999999993,135,23,243,-16,72,51,89.67162315916892,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.550000,4.149999999999993,126,-47,217,-9,-70,-26,75.21303078589507,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.600000,4.199999999999993,130,-25,260,4,22,43,48.46648326421054,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.650000,4.249999999999993,154,-21,237,24,4,-23,33.481338085566414,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.700000,4.299999999999993,131,-23,221,-23,-2,-16,28.089143810376278,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.750000,4.3499999999999925,113,-1,231,-18,22,10,30.133038346638727,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.800000,4.399999999999992,136,-34,217,23,-33,-14,42.59107887809371,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.850000,4.449999999999992,120,-32,243,-16,2,26,30.59411708155671,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.900000,4.499999999999992,129,-66,238,9,-34,-5,35.52463933666322,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:27.950000,4.549999999999992,129,-66,238,0,0,0,0.0,89.93700000000001,272.58,37.43264933333333,126.74757683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28,4.599999999999992,92,-9,229,-37,57,-9,68.54925236645546,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.050000,4.6499999999999915,111,-43,206,19,-34,-23,45.232731511594565,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.100000,4.699999999999991,100,-35,247,-11,8,41,43.197222132910355,89.8722,272.08,37.43265783333333,126.74728683333333
